id	name	ancestors	
alRCyNlQ0a1	Bệnh viện đa khoa khu vực Bắc Quảng Bình	Việt Nam/Quảng Bình	
AMkNF3ugmKW	Quận Hoàn Kiếm	Việt Nam/Hà Nội	
AmTRbn1rk4J	Phòng khám MEDIC 01 Bến Nghé	Việt Nam/Thừa Thiên Huế	
anasReeJmIt	Bệnh viện đa khoa Hạnh Phúc	Việt Nam/An Giang	
aNloAHBZUZp	TT Phòng chống HIV/AIDS (Sáp nhập 2020)	Việt Nam/Khánh Hòa	
AoOCgY7kWfS	Phòng khám Điện Nam - Điện Ngọc	Việt Nam/Quảng Nam	
aoOnaIHjH5j	Trung tâm Pháp Y	Việt Nam/Trà Vinh	
aOozrqCae3n	Trung tâm Kiểm soát bệnh tật	Việt Nam/Tiền Giang	
AOrNjY7kwKQ	Thành phố Thanh Hóa	Việt Nam/Thanh Hóa	
apH2t1vMECK	Thành phố Châu Đốc	Việt Nam/An Giang	
aPPcEIcSp5e	Tạp chí Y học thực hành	Việt Nam/Các đơn vị trực thuộc Bộ	
AqobyVu1RLr	Sở Y tế Bắc Kạn	Việt Nam/Bắc Kạn	
ARj10sYIPu9	Thị xã Kinh Môn	Việt Nam/Hải Dương	
arOZtyIMgrQ	Huyện Tánh Linh	Việt Nam/Bình Thuận	
aRXdZTJ7iLV	Chi cục Dân số - Kế hoạch hóa gia đình	Việt Nam/Hồ Chí Minh	
aTarnVLESQF	Huyện Kim Sơn	Việt Nam/Ninh Bình	
AtSAOXA0G4O	Thành phố Rạch Giá	Việt Nam/Kiên Giang	
atV2DoqvS7i	Bệnh viện Răng - Hàm - Mặt Trung ương TP HCM	Việt Nam/Các đơn vị trực thuộc Bộ	
au6rr4xQEdA	Ban an toàn thực phẩm tỉnh	Việt Nam/Bắc Ninh	
Au7Jx1yRAqX	Viện Y học Biển	Việt Nam/Các đơn vị trực thuộc Bộ	
AUytgvIyVi0	BVĐK Quốc tế Becamex 	Việt Nam/Bình Dương	
AV9l7T4eqAQ	Chi cục An toàn vệ sinh thực phẩm	Việt Nam/Bến Tre	
AVd6z9k45qx	Bệnh viện Vinmec Phú Quốc	Việt Nam/Kiên Giang	
avuR5xIdtho	Bệnh viện đa khoa Hà Đông	Việt Nam/Hà Nội	
aw1IfY1HUTj	Ban QL dự án chuyên ngành Công trình y tế	Việt Nam/Các đơn vị trực thuộc Bộ	
aw8XNrrGUBs	Chi cục ATVS thực phẩm	Việt Nam/Bà Rịa - Vũng Tàu	
AwPZ4SgRGNb	Chi cục An toàn VSTP	Việt Nam/Hà Nam	
awU7t1k5FNa	Huyện Chợ Lách	Việt Nam/Bến Tre	
awveilvAuIc	Trung tâm Kiểm soát bệnh tật	Việt Nam/Đắk Nông	
aWWXp8aUbe6	Bệnh viện Lao và bệnh Phổi	Việt Nam/Trà Vinh	
axlUNABq1ml	Phòng khám Đa khoa Bảo Ngọc Đại Từ	Việt Nam/Thái Nguyên	
AZDKrgjrXuP	Bệnh viện hữu nghị Lạc Việt	Việt Nam/Vĩnh Phúc	
aZjD5BOCaPn	Bệnh viện Quốc tế Mỹ	Việt Nam/Hồ Chí Minh	
azkK7ChmSXA	Trung tâm Giám định y khoa	Việt Nam/Phú Yên	
azQLxKzBHsO	Thành phố Hà Tiên	Việt Nam/Kiên Giang	
B1x38Ps7jbU	Huyện Khoái Châu	Việt Nam/Hưng Yên	
b2psgr3oPGW	Bệnh viện Đa khoa tỉnh	Việt Nam/Gia Lai	
b2THIe4Vwbi	Huyện Tiên Du	Việt Nam/Bắc Ninh	
B4Pau9InR2t	Bệnh viện Y học cổ truyền	Việt Nam/Hải Dương	
B5X1vcKLNYe	Trung tâm Kiểm soát bệnh tật	Việt Nam/Cà Mau	
b6FneZcRPPv	Trung tâm Phòng chống sốt rét, KST, CT (Sáp nhập 2020)	Việt Nam/Nghệ An	
b7PDMNwIlTT	Bệnh viện ĐKKV kết hợp QDY	Việt Nam/Vĩnh Long	
b8gFI0egnkJ	Thành phố Móng Cái	Việt Nam/Quảng Ninh	
B8WmkI8ofbn	Bệnh viện Bình Dân	Việt Nam/Hồ Chí Minh	
b9JLpMyWu1b	Bệnh viện Mắt DND	Việt Nam/Bắc Giang	
b9QzHZsmyOu	Huyện Thọ Xuân	Việt Nam/Thanh Hóa	
bAbrhiuMJUJ	Phòng khám Cựu quân nhân	Việt Nam/Thừa Thiên Huế	
BaVslVqTQrH	Thành phố Tuyên Quang	Việt Nam/Tuyên Quang	
baYxfBGgXZx	Huyện Trà Ôn	Việt Nam/Vĩnh Long	
bB1QMHGyPu9	Thành phố Huế	Việt Nam/Thừa Thiên Huế	
BBHIHVEN6Ye	Chi cục DS KHHGĐ	Việt Nam/Bắc Kạn	
BBiqqgJOioC	Thị xã Ninh Hòa	Việt Nam/Khánh Hòa	
BCX5kz45J5l	Bệnh viện chuyên khoa mắt tư nhân tỉnh Sóc Trăng	Việt Nam/Sóc Trăng	
BdCU1PxDCzf	Trung tâm Kiểm soát bệnh tật 	Việt Nam/Bạc Liêu	
Be4ub09ecGl	Huyện Bắc Trà My	Việt Nam/Quảng Nam	
be6dSk2IdYU	Huyện Giồng Riềng	Việt Nam/Kiên Giang	
beFHh2XkgZE	Sở Y tế Đồng Nai	Việt Nam/Đồng Nai	
beGr2mOtdG5	Trung tâm Pháp Y (Sáp nhập 2020)	Việt Nam/Ninh Thuận	
BEkC8BvAo8h	Bệnh viện Anh Đức	Việt Nam/Tiền Giang	
bewTG5Y2W1y	Trung tâm Giám định Y khoa	Việt Nam/Bắc Kạn	
bfaSNx6GW3S	Trung tâm Kiểm soát bệnh tật	Việt Nam/Quảng Nam	
BFuLBY2RThg	Trung tâm Pháp y Tâm thần Khu vực Tây Nguyên	Việt Nam/Các đơn vị trực thuộc Bộ	
bg6YUk77FeK	Huyện Cai Lậy	Việt Nam/Tiền Giang	
BGWMBdardww	Huyện Chợ Gạo	Việt Nam/Tiền Giang	
BgzpyWdLW4v	Huyện Bắc Bình	Việt Nam/Bình Thuận	
BHdyzG0IyHo	Chi cục Dân số - Kế hoạch hoá gia đình	Việt Nam/Bình Thuận	
bicp4FPWKRA	Trung tâm Phong - Da liễu	Việt Nam/Quảng Ngãi	
BJH1qumZ8nt	Bệnh viện ĐKKV Quảng Nam	Việt Nam/Quảng Nam	
bjkQCdZMlcx	Quận Thanh Khê	Việt Nam/Đà Nẵng	
bkaVfr2QF9a	Cục KHCN&ĐT	Việt Nam/Các đơn vị thuộc Bộ	
BkczHyRCMCE	Trung tâm Kiểm nghiệm Dược phẩm - Mỹ phẩm	Việt Nam/Bình Phước	
BKI8GWmilQ5	Chi cục An toàn vệ sinh thực phẩm	Việt Nam/Yên Bái	
BkQ9aicfl8o	Phòng khám ĐK Trà Sanh	Việt Nam/Ninh Thuận	
bL9vDBRsHRJ	Trung tâm Phòng chống HIV/AIDS (Sáp nhập 2020)	Việt Nam/Bình Dương	
bLHr6oiqVzJ	Huyện Sìn Hồ	Việt Nam/Lai Châu	
BLWJPKUSRRb	Huyện Mường La	Việt Nam/Sơn La	
BM70JhvLrsh	Trung tâm Giám định y khoa	Việt Nam/Long An	
bmPQIaip6S5	Huyện Nậm Nhùn	Việt Nam/Lai Châu	
BNCU3tvjSxR	Huyện Yên Khánh	Việt Nam/Ninh Bình	
bNhMOgcuon5	Trung tâm Kiểm nghiệm	Việt Nam/Phú Thọ	
BnkVE2oIlwj	Bệnh viện Phổi 	Việt Nam/Thái Bình	
bNrrvHlvnTv	Bệnh viện Phục hồi chức năng	Việt Nam/Vĩnh Phúc	
boBPMPNAZBT	Thị Xã Buôn Hồ	Việt Nam/Đắk Lắk	
BOe9pWD3tSm	Chi cục Dân số - KHHGĐ	Việt Nam/Quảng Nam	
BOKG7JCaWwA	Huyện Quản Bạ	Việt Nam/Hà Giang	
BoNNGACVWvt	Trung tâm Kiểm chuẩn Xét nghiệm	Việt Nam/Hồ Chí Minh	
bOSs3TceNkz	Bệnh viện Đa khoa khu vực Gò Công	Việt Nam/Tiền Giang	
Bp2sjXm2Mj9	Bệnh viện ĐK Tân Hưng	Việt Nam/Hồ Chí Minh	
BP78vbthes8	Chi cục DS KHHGĐ	Việt Nam/Hòa Bình	
Bpic0HMS9Kt	Trung tâm KN Thuốc, Mỹ phẩm, Thực phẩm	Việt Nam/Sóc Trăng	
bpSNo6HY4WK	Bệnh viện Vũ Anh	Việt Nam/Hồ Chí Minh	
bPZTW8ZdSC2	Bệnh viện đa khoa Tư nhân Hòa Bình	Việt Nam/Bình Định	
BQ9VfBjnNlq	Thành phố Nha Trang	Việt Nam/Khánh Hòa	
bQdBsqOwfv2	Chi cục An toàn vệ sinh thực phẩm	Việt Nam/Đắk Nông	
BQeKAeLXm7c	Bệnh viện đa khoa Lâm Hoa Thái Bình	Việt Nam/Thái Bình	
Bqohc1MQi31	Quận Bắc Từ Liêm	Việt Nam/Hà Nội	
bQrNq3FZYMh	Sở Y tế Bắc Ninh	Việt Nam/Bắc Ninh	
BRbG6aOJPSj	Phòng khám ĐK Quốc tế Sỹ Mỹ Taekwang 1	Việt Nam/Đồng Nai	
bRcWBLhh1Zb	Bệnh viện đa khoa Vĩnh Đức	Việt Nam/Quảng Nam	
Bs0KfcEZADf	Huyện Mường Chà	Việt Nam/Điện Biên	
BSlyhyQHEXC	Bệnh viện Y học Cổ truyền	Việt Nam/Tây Ninh	
BSnTFvRBJNF	Huyện Bình Sơn	Việt Nam/Quảng Ngãi	
BTJVnXK6FzT	Bệnh Viện Y Học Cổ Truyền 	Việt Nam/Thái Nguyên	
BTPWMRXJlnS	Bệnh viện ĐHYD Shing Mark	Việt Nam/Đồng Nai	
bTviuSRAVtv	Phòng khám ĐK Ái Nghĩa Thạnh Phú	Việt Nam/Đồng Nai	
BU4OtiE6Jqm	Trung tâm Giám định Y khoa	Việt Nam/Gia Lai	
bu4zEVSaD3K	Huyện Mê Linh	Việt Nam/Hà Nội	
Bu9KibYs58C	Bệnh viện Đa khoa Trung ương Thái Nguyên	Việt Nam/Các đơn vị trực thuộc Bộ	
buHu8xmSigS	Trung tâm Kiểm soát bệnh tật Tỉnh	Việt Nam/Đồng Tháp	
BuKAZDOGKcl	Viện Pháp y tâm thần Trung ương	Việt Nam/Các đơn vị trực thuộc Bộ	
BuLi45wXXSb	Bệnh viện Đa Khoa Vạn Phước 	Việt Nam/Bà Rịa - Vũng Tàu	
BuSN3Fiaxyh	Trung tâm Huyết học Truyền máu	Việt Nam/Nghệ An	
BvToKCPKYni	Thị xã Duyên Hải	Việt Nam/Trà Vinh	
bVTy0tOinpM	Huyện Tiên Yên	Việt Nam/Quảng Ninh	
bw3y39sMhbR	Quận Ba Đình	Việt Nam/Hà Nội	
bY3Y84e0QZo	Cục QL KCB	Việt Nam/Các đơn vị thuộc Bộ	
BYEpcd1D3N9	Chi Cục An toàn vệ sinh thực phẩm	Việt Nam/Hậu Giang	
bygMPNNXY94	Phòng khám Nguyễn Quang Hợp	Việt Nam/Thừa Thiên Huế	
bYhEtJQE4fQ	Huyện Mường Lát	Việt Nam/Thanh Hóa	
bYt4xuAJWh9	Trung tâm Pháp Y	Việt Nam/Khánh Hòa	
Bz0YL4SqS95	Phòng khám ĐK Hoàng Anh Đức Long Thành	Việt Nam/Đồng Nai	
Bz1Mn0CMs82	Trung tâm Giám định Y khoa	Việt Nam/Khánh Hòa	
BZG15AEhtBj	Bệnh viện Y học cổ truyền Trung ương	Việt Nam/Các đơn vị trực thuộc Bộ	
bzn4NpdjHlV	Bệnh viện Nội tiết	Việt Nam/Sơn La	
C0UsH5hRWxp	Bệnh viện TM Hàn Quốc JW	Việt Nam/Hồ Chí Minh	
C1MXDi7e5ma	Bệnh viện Việt Pháp (FV)	Việt Nam/Hồ Chí Minh	
c1Z2Bw4dAXb	Huyện Ba Tơ	Việt Nam/Quảng Ngãi	
c2Pir79ULmR	Huyện Phú Bình	Việt Nam/Thái Nguyên	
c2W6LY3Coq0	Quận Thốt Nốt	Việt Nam/Cần Thơ	
C3H9s9ULsPj	Bệnh viện Hoàn Mỹ Sài Gòn	Việt Nam/Hồ Chí Minh	
C3T7UeU75LC	Bệnh viện Quốc tế Green	Việt Nam/Hải Phòng	
c4Id7NUhMpa	Thành phố Tam Điệp	Việt Nam/Ninh Bình	
c4Q51VdTKWo	Phòng khám ĐK Lê Thiện Nhân	Việt Nam/Đồng Nai	
C5K1SAz3nbJ	Trung tâm Phòng chống bệnh xã hội	Việt Nam/Ninh Thuận	
C5rfThx3RaS	Huyện Mỹ Lộc	Việt Nam/Nam Định	
C73FPQ7IEcn	Bệnh viện Phục hồi chức năng	Việt Nam/Thái Bình	
c8NtEq0w4vk	Trung tâm Kiểm nghiệm	Việt Nam/Đồng Tháp	
C9Hhg1yXHCF	Huyện Mường Nhé	Việt Nam/Điện Biên	
C9wAZQ3wr1z	Huyện Đô Lương	Việt Nam/Nghệ An	
cBjx8BmD8vH	Bệnh viện Công ty Cao Su Lộc Ninh	Việt Nam/Bình Phước	
cBrE4s1XX5I	Trung tâm kiểm nghiệm DP - MP	Việt Nam/Long An	
cCbnmOtZJM3	Phòng Khám Đa Khoa Bảo Ngọc	Việt Nam/Thái Nguyên	
CCupiFTE8yD	Chi cục An toàn vệ sinh thực phẩm	Việt Nam/Đồng Tháp	
ccydiS6eNR5	Trung tâm kiểm nghiệm dược - mỹ phẩm	Việt Nam/Thanh Hóa	
cDEOfngTFh1	Bệnh viện Chấn thương Chỉnh Hình	Việt Nam/Hồ Chí Minh	
cdG2xN2CVlk	Trường Cao đẳng Y tế	Việt Nam/Hà Nam	
cDXIc9IAbcy	Huyện Mường Ảng	Việt Nam/Điện Biên	
cE3vLZcv43X	Báo sức khỏe Đời sống	Việt Nam/Các đơn vị trực thuộc Bộ	
cFDSSu7qDDl	Chi cục Dân số - KHHGĐ	Việt Nam/Thanh Hóa	
cFKiEYiqq69	Bệnh viện đa khoa tư nhân Hùng Vương	Việt Nam/Phú Thọ	
cFw9MxWuKQt	Trung tâm Kiểm soát bệnh tật	Việt Nam/Sóc Trăng	
cfy2lw6ZLA8	Bệnh Viện Tâm Thần 	Việt Nam/Thái Nguyên	
CggwzYZpCth	Bệnh viện Tâm thần	Việt Nam/Vĩnh Long	
cgrrLT7Ogjr	Huyện Châu Đức	Việt Nam/Bà Rịa - Vũng Tàu	
ch14kN45sAs	Sở Y tế	Việt Nam/Sóc Trăng	
Ch6Qiskn03A	Bệnh viện Tâm Trí	Việt Nam/Đồng Tháp	
chCcL4Fx4Hr	Bệnh viện tư nhân Tâm Phúc	Việt Nam/Bình Thuận	
chstW9fxD5n	Bệnh viện đa khoa Chân Mây	Việt Nam/Thừa Thiên Huế	
chzNsKFcx2U	Bệnh viện Tâm Thần	Việt Nam/Yên Bái	
CI1VK2dY22l	Huyện Bến Cầu	Việt Nam/Tây Ninh	
CI3nkuJ1lEs	Trung tâm Pháp Y 	Việt Nam/Kiên Giang	
cIJRjVxKLpy	Huyện Krông Nô	Việt Nam/Đắk Nông	
CIknpYZXvAh	Phòng khám ĐK Duy Khang	Việt Nam/Đồng Nai	
CjPIRZeaGc9	Phòng khám đa khoa Âu Lạc	Việt Nam/Thừa Thiên Huế	
cJtu9LwoKcV	Bệnh viện Đa khoa Phủ Diễn	Việt Nam/Nghệ An	
cjWeu89BvDJ	Huyện Thanh Chương	Việt Nam/Nghệ An	
ck4bYdSp2bh	Thị xã Bến Cát	Việt Nam/Bình Dương	
cK60pzHbcxv	Huyện Đăk Pơ	Việt Nam/Gia Lai	
cKgt3Cr5lGS	Bệnh viện Tai - Mũi - Họng Trung ương	Việt Nam/Các đơn vị trực thuộc Bộ	
CKSrY7BbsRt	Quận Đống Đa	Việt Nam/Hà Nội	
ClEEbEC5SwN	Sở Y tế tỉnh Bình Thuận	Việt Nam/Bình Thuận	
ClOaniwfhm6	Trung tâm Pháp Y (Sáp nhập 2020)	Việt Nam/Tây Ninh	
CLshDXIUgGp	Huyện Hương Sơn	Việt Nam/Hà Tĩnh	
cLthEvPrwVI	Quận Bình Tân	Việt Nam/Hồ Chí Minh	
CmARYO694HB	Huyện Lộc Ninh	Việt Nam/Bình Phước	
CmdGhLP9q5P	Trung tâm Giám định Y khoa	Việt Nam/Quảng Trị	
Cmtz3q3eXj9	Bệnh viện Đa khoa Hạ Long	Việt Nam/Quảng Ninh	
cn0ItX324MY	Trung tâm Cấp cứu 115	Việt Nam/Khánh Hòa	
cnq7Hschag8	Bệnh viện đa khoa Lâm Hoa Hưng Hà	Việt Nam/Thái Bình	
CoyLcKkIOsg	Huyện Đông Giang	Việt Nam/Quảng Nam	
cPehtTZvu6q	Cao đẳng y tế 	Việt Nam/Bắc Ninh	
cPZkVwxCAlR	Trung tâm Truyền thông Giáo dục sức khỏe tỉnh Cà Mau (Sáp nhập 2020)	Việt Nam/Cà Mau	
cq2w6JCnY8z	Bệnh viện Y học cổ truyền	Việt Nam/Cao Bằng	
CQdF8aUCDEc	Bệnh viện Y học cổ truyền	Việt Nam/Quảng Nam	
cQDLiqgZWSf	Huyện Nghĩa Hành	Việt Nam/Quảng Ngãi	
CR5usgStB1I	BV Đa khoa Quang Thành	Việt Nam/Nghệ An	
Cs3se2ejejp	Huyện Bạch Long Vĩ	Việt Nam/Hải Phòng	
cSPfPxHEJGc	Trung tâm Kiểm soát bệnh tật	Việt Nam/Bình Dương	
CSqnrcZaLbm	Bệnh viện Răng Hàm Mặt	Việt Nam/Thừa Thiên Huế	
CtJNF0qBilK	Trung tâm Pháp Y	Việt Nam/Lạng Sơn	
cTUP1F5rRk1	Trung tâm Pháp y	Việt Nam/Long An	
CtxTsjEDiIf	Phòng khám ĐK Sinh Hậu	Việt Nam/Đồng Nai	
cTy8xrulatc	Phòng khám ĐK Tín Đức	Việt Nam/Đồng Nai	
CUl0C7XCo0p	Huyện Hoà Bình	Việt Nam/Bạc Liêu	
CuP4oNQ35qZ	Bệnh viện Phổi	Việt Nam/Thừa Thiên Huế	
cuQjpn6WwyV	Trung tâm pháp y	Việt Nam/Bình Thuận	
Cvaw0XxOBM8	Huyện Bác Ái	Việt Nam/Ninh Thuận	
CVfWfz2e2So	Huyện Hàm Yên	Việt Nam/Tuyên Quang	
cw0y7G1gIAv	Sở Y tế	Việt Nam/Đà Nẵng	
cwgABEvhikL	Vụ TCCB	Việt Nam/Các đơn vị thuộc Bộ	
cWK9epPZKTA	Trung tâm Giám định Y khoa	Việt Nam/Tiền Giang	
CwPX5XI6Hd7	Bệnh viện Mắt Thanh Tâm	Việt Nam/Thanh Hóa	
cwwGWCvpDW2	Thị xã Bình Minh	Việt Nam/Vĩnh Long	
CX1PwqH92dI	Huyện Thông Nông (Sáp nhập 2020)	Việt Nam/Cao Bằng	
cxeIcLFbL2w	Huyện Minh Hóa	Việt Nam/Quảng Bình	
CXxVHTRfZLK	Bệnh viện Phụ sản	Việt Nam/Cần Thơ	
cY5WdgAE5mm	Huyện Sơn Tịnh	Việt Nam/Quảng Ngãi	
CYOnPZKfrEg	Huyện Văn Lãng	Việt Nam/Lạng Sơn	
CZ5mPQpFJSu	Bệnh viện Đa khoa Hoàn Mỹ Cửu Long	Việt Nam/Cần Thơ	
CzdlQxykKiW	Trung tâm Truyền thông – Giáo dục sức khoẻ (Sáp nhập 2020)	Việt Nam/Khánh Hòa	
Czk5hKzZZg3	Bệnh viện Phổi	Việt Nam/Tuyên Quang	
CzkHbqnxx8V	Huyện Quan Hóa	Việt Nam/Thanh Hóa	
czQ7zEvv9T4	Huyện Lý Nhân	Việt Nam/Hà Nam	
CzTjtCNuony	Viện Sốt rét - Ký sinh trùng - Côn trùng Quy Nhơn	Việt Nam/Các đơn vị trực thuộc Bộ	
d2JFBc14zhJ	Bệnh Viện Tâm Thần 	Việt Nam/Ninh Bình	
d3CTiSRKFOG	Bệnh viện Hồng Đức III	Việt Nam/Hồ Chí Minh	
D3DvIUtxDNY	Bệnh viện YHCT Hà Đông	Việt Nam/Hà Nội	
D3HptvwqY46	Trường Đại học Y tế công cộng	Việt Nam/Các đơn vị trực thuộc Bộ	
D3u4ZYxX0RO	Huyện Củ Chi	Việt Nam/Hồ Chí Minh	
D48VGw6EyKz	Trung tâm chăm sóc SKSS	Việt Nam/Sóc Trăng	
d4J4zyvpR27	Trung tâm Kiểm nghiệm Thuốc, Mỹ phẩm, Dược phẩm	Việt Nam/Quảng Trị	
D50gF3BqpDL	Thành phố Phủ Lý	Việt Nam/Hà Nam	
d5jb8UBe1QZ	Thành phố Mỹ Tho	Việt Nam/Tiền Giang	
d5RpqZ7TVWO	Huyện Phú Ninh	Việt Nam/Quảng Nam	
D6CsON6G9OS	Bệnh viện Đa khoa 	Việt Nam/Hòa Bình	
D6G0Pm3L4vy	Huyện Cư Kuin	Việt Nam/Đắk Lắk	
d6Haa3YEpqU	Chi cục An toàn vệ sinh thực phẩm	Việt Nam/Quảng Ninh	
D6q0LI2oBJx	Sở Y tế	Việt Nam/Đắk Nông	
d6vIf2sUCT6	Chi cục Dân số KHHGĐ	Việt Nam/Đồng Nai	
d8i8dSKm2Z7	Bệnh xá Công an Bạc Liêu	Việt Nam/Bạc Liêu	
D9rdglTgDAE	Bệnh viện đa khoa trung ương Huế	Việt Nam/Thừa Thiên Huế	
darK8iERI5m	Bệnh viện Ung bướu Đà Nẵng	Việt Nam/Đà Nẵng	
Dat4RGTrOTs	Huyện Bình Giang	Việt Nam/Hải Dương	
dbn2bBObzoB	Trung tâm Kiểm soát Bệnh tật	Việt Nam/Hà Giang	
dbn9JLXDl7R	Huyện Ia Pa	Việt Nam/Gia Lai	
DBS4SU73Wyq	Trung tâm Y tế Dự phòng tỉnh Cà Mau (Sáp nhập 2020)	Việt Nam/Cà Mau	
dc1KS6YxQcR	Bệnh viện Mắt Bắc Trung Nam	Việt Nam/Thanh Hóa	
DCi5gC2dvCp	Huyện Krông Pa	Việt Nam/Gia Lai	
dcmlzrNqkXb	Chi cục Dân số - KHHGĐ	Việt Nam/Quảng Bình	
dd7BC19giUl	Thành phố Vinh	Việt Nam/Nghệ An	
DDu0Sv2INSp	Bệnh viện Phổi	Việt Nam/Ninh Bình	
dEbzaNDODOS	Huyện Kiến Thuỵ	Việt Nam/Hải Phòng	
DEc7fDSfEil	Trung tâm giám định y khoa	Việt Nam/Hưng Yên	
DEyvbnC4HEo	Sở Y tế	Việt Nam/Quảng Trị	
DF7A6SKVYGg	Phòng khám ĐK Hưng Hòa Phát	Việt Nam/Đồng Nai	
dFcgGCtchdD	Bệnh viện Phục hồi chức năng Hương Sen	Việt Nam/Tuyên Quang	
DFjIbZQoZMA	Chi cục an toàn vệ sinh thực phẩm	Việt Nam/Quảng Trị	
dFn8FlfcuNc	Bệnh viện Từ Dũ	Việt Nam/Hồ Chí Minh	
DgDXwgQfFfb	Bệnh viện Sản Nhi	Việt Nam/Trà Vinh	
dgn7XqKUa4C	Phòng khám ĐK BV Nhi Đồng Sài Gòn, CN Đồng Nai	Việt Nam/Đồng Nai	
dGQemuMC8gE	Huyện Lục Ngạn	Việt Nam/Bắc Giang	
dhfEVVzTGNg	Quận Dương Kinh	Việt Nam/Hải Phòng	
dHpfVEYjANQ	Trung tâm Kiểm nghiệm	Việt Nam/Khánh Hòa	
DikHHQVS7fR	Bệnh viện đa khoa tỉnh	Việt Nam/Kiên Giang	
djWhprTER5V	Huyện Cam Lâm	Việt Nam/Khánh Hòa	
Dk5bYWmNOI3	Bệnh viện đa khoa tỉnh	Việt Nam/Quảng Nam	
DkirCVXIi0a	Bệnh viện Phục hồi chức năng	Việt Nam/Lạng Sơn	
DKR9CMDwjJi	Phòng khám đa khoa Việt Nhật	Việt Nam/Thừa Thiên Huế	
